data,ML method,sensitive attrs,bias mitigation,other,index,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",3641.0,0.9301739545336336,0.8058231571231717,0.777150808918928,0.7848082290494587,0.9549120773520501,2.410536886046849,0.7648238856576257,0.8741376507814277,0.9636356999546974,-0.4637690130523577,0.4064849811217623,0.14919781662026496,0.4127069431061058,0.6000252874047737,2.194266225233167,0.18172696701359561,3.2008278989728236,0.09400081464925446,3.959533108207677,0.18172696701359498,0.1539634188563793,0.18172696701359498,0.18172696701359523,0.1539634188563793,0.18468703562420205,2.194266225233167,0.6000252874047739,3.803451094381601e+18,0.777150808918928,1.361320734210189,1.3721788340990577,0.9601883921301445,0.7119997520831876
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",3643.0,0.9341182945112797,0.8271045785258252,0.7647832557859559,0.7890149589104036,0.9271193335992846,2.4239077364292094,0.7320729883265912,0.8737326751228931,0.9700947082717304,-0.5300628726425021,2.2664673149526684,0.10219856697774415,0.36000932554815807,0.625906557382551,4.400385280546194,0.13772790488502767,3.313969470659018,0.06518547844301774,4.569012883687574,0.13772790488502698,0.11771476543776362,0.13772790488502698,0.13772790488502723,0.11771476543776362,0.13914592592963265,4.400385280546194,0.6259065573825511,3.803451094381601e+18,0.7647832557859559,1.3079042676633599,1.432137949435472,0.9709545720835813,0.6930583791446061
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",3646.0,0.9326282975696188,0.8120779032362345,0.7686632446331593,0.783688367514666,0.933903909414483,2.3926270252503588,0.7449682596938457,0.8737237979402903,0.9676551927546044,-0.4487199966382701,1.0298744728342115,0.13626526070458456,0.3747934574884773,0.5300447263372727,2.5690922917765806,0.16703683206245035,3.2133910755181265,0.08122451227173104,3.9468878007099812,0.16703683206244982,0.14074809902887822,0.16703683206244982,0.16703683206245,0.14074809902887822,0.16979158479342715,2.5690922917765806,0.5300447263372727,3.803451094381601e+18,0.7686632446331593,1.317626540959471,1.3957215237453122,0.9653175179397686,0.706957138381664
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",3642.0,0.9292102400017971,0.8082720484589506,0.7767775017431204,0.787581245933539,0.9633014643947038,2.540309392845004,0.7573461337856282,0.8578099834626993,0.9716916876733113,-0.41243209648230433,-0.051381542250097195,0.09197770776492244,0.23874409796151086,0.5820129243932824,3.3510536809847626,0.13521460606312352,3.3716065309626604,0.05994155382114083,4.8873869298429655,0.13521460606312283,0.10870457971224451,0.13521460606312283,0.13521460606312305,0.10870457971224451,0.138657921058554,3.3510536809847626,0.5820129243932824,3.803451094381601e+18,0.7767775017431204,1.4045613932645575,1.4125461708896723,0.9623894674842114,0.682283202808623
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",3645.0,0.9330169785758283,0.8214194885591583,0.7745985995681849,0.7925631239540281,0.946581336663126,2.57942820081762,0.7346015513305839,0.8694512191009737,0.970910839589565,-0.7764015916789033,1.5140479886105986,0.05305317450577208,0.3245006308678955,0.8395090720449154,4.109220738694253,0.15369230758394103,3.529121257150622,0.06798005252415971,4.971088873354803,0.15369230758394045,0.12504396404528836,0.15369230758394045,0.15369230758394054,0.12504396404528836,0.15774015338339226,4.109220738694253,0.8395090720449156,3.803451094381601e+18,0.7745985995681849,1.3580699007899824,1.4120286981804933,0.9673659524044225,0.6936628910076482
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",3647.0,0.9049042171739394,0.7273865981266281,0.7472181450400889,0.7231091793601636,0.9773010299105578,2.5707322402622044,0.7679426117792485,0.8463410683797681,0.939949020842181,-0.5427515022966553,-0.9870131805276661,0.08755873670725332,0.3755974046393048,0.6640152435444713,2.161998039055156,0.18116020571111738,3.4423577876640428,0.09399600107081608,3.706415922471026,0.1811602057111169,0.151045600641754,0.1811602057111169,0.1811602057111171,0.151045600641754,0.18565870864522,2.161998039055156,0.6640152435444714,3.803451094381601e+18,0.7472181450400889,1.450963177879313,1.3147805100256413,0.920844228514347,0.7026264001698628
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",3649.0,0.9329103636121736,0.8277668716089632,0.7652911897021152,0.7879580839949138,0.9293442855275705,2.4157916820374563,0.7350451108659527,0.8729077669718228,0.9687529908457855,-0.5314730899350665,1.8516824186609573,0.10693464681979893,0.3738445737475787,0.6038602497493909,3.9406499578073677,0.14323770813320597,3.2755911960897657,0.06674161725782891,4.356087358121014,0.14323770813320538,0.12160492854524096,0.14323770813320538,0.1432377081332055,0.12160492854524096,0.145562982291744,3.9406499578073677,0.6038602497493909,3.803451094381601e+18,0.7652911897021152,1.311442747643894,1.4244090106429537,0.9690696149994408,0.6927562911558078
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",3650.0,0.934009228127712,0.8270057640250444,0.7719745277121433,0.7928703758319382,0.9364191171980555,2.3954154374420438,0.7458408802271232,0.8725606736024982,0.9707086278579685,-0.417909426901055,0.40904639434197076,0.130296953961664,0.3542951895829652,0.5554195390898099,2.165910753794343,0.16683275851862345,3.2163541988457114,0.08207820032936766,4.300539698578309,0.16683275851862286,0.14167123472527923,0.16683275851862286,0.16683275851862303,0.14167123472527923,0.16913300490654323,2.165910753794343,0.5554195390898099,3.803451094381601e+18,0.7719745277121433,1.323004804203176,1.415735343037273,0.9692188392970602,0.6973072670019141
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",3640.0,0.9290528800595028,0.8077601294250378,0.774776616048268,0.7863001249018137,0.962297128944511,2.58427946870579,0.7497417694108804,0.8586973166958571,0.9708326640072767,-0.5079206742023458,1.3629378758274062,0.06311529931343672,0.2473593044136706,0.7621660540777448,3.660790496616291,0.11856203790510307,3.4561608459102997,0.05157265006611541,5.308629932137848,0.11856203790510235,0.0964788775605535,0.11856203790510235,0.1185620379051026,0.0964788775605535,0.1214395569812473,3.660790496616291,0.762166054077745,3.803451094381601e+18,0.774776616048268,1.4100633260093978,1.4171802212789517,0.962902630620438,0.6808778764878232
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",3644.0,0.9353300521254385,0.8322310965123906,0.7779925099922889,0.7980669544343322,0.9378445485351037,2.426283806758264,0.7436494077259178,0.8755246875721853,0.9711699009378265,-0.5915981978293359,0.8078930827051793,0.11565672328967917,0.3794132931993484,0.6320486670194545,2.6895981600433623,0.14436522614212957,3.2767200519473385,0.06834117950577821,4.540647544892937,0.14436522614212902,0.12225204151397549,0.14436522614212902,0.1443652261421292,0.12225204151397549,0.14656739792279525,2.6895981600433623,0.6320486670194546,3.803451094381601e+18,0.7779925099922889,1.3060289663815756,1.403228350953166,0.9693356842491716,0.7051053739880102
