data,ML method,sensitive attrs,bias mitigation,other,index,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC,acc * sf
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",5369.0,0.9331136212298251,0.8136425718479646,0.7027776394285061,0.7165189647021094,0.8581164910493678,2.224496156922623,0.6854249018069744,0.8912238298695497,0.9582280971603101,-0.45894110089925655,0.27677439193375714,0.13129858330517488,0.5504976955967006,0.5810406534375436,1.9574376045796609,0.17115425321012842,3.702387442214722,0.0963292509597531,inf,0.17115425321012764,0.1685567397151819,0.17115425321012764,0.17115425321012795,0.1685567397151819,0.17308920570719152,1.9574376045796609,0.5810406534375439,3.803451094381601e+18,0.10502105355498047,0.09175512083863327,0.13081327096389672,0.666623020101501,0.36071702796191235,-0.3031656948511931
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",5371.0,0.9368882642730904,0.8388619599830012,0.6989804815531693,0.7274620490351009,0.8413704879527607,2.245564754793319,0.6641318221095533,0.8910379952844298,0.9642936808594389,-0.5110474765939588,1.8759957659850024,0.09711263550592952,0.5036826021083878,0.5969035675216389,3.8422615807248115,0.13469353410811116,3.6148185483625515,0.07317387431135737,inf,0.13469353410811036,0.13769652893889645,0.13469353410811036,0.1346935341081106,0.13769652893889645,0.13531430000945277,3.8422615807248115,0.596903567521639,3.803451094381601e+18,0.10370520636870036,0.08734483968595112,0.1351572437387604,0.673792710206588,0.35325670138417536,-0.21111158024099916
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",5374.0,0.935525022349467,0.8240699168950961,0.7012706107621096,0.7217116956712684,0.8461033852621622,2.213063091038391,0.6743583533311394,0.8909619043337534,0.9621067509855055,-0.44451399957980947,0.8113878261270295,0.12608950161712876,0.5162079875030472,0.5185096179883761,2.277660237396629,0.16109277921431214,3.613682476646012,0.08523337373309074,inf,0.16109277921431137,0.15773040082730697,0.16109277921431137,0.16109277921431164,0.15773040082730697,0.1628197583804266,2.277660237396629,0.5185096179883761,3.803451094381601e+18,0.1042589587262599,0.08894907671389095,0.1322799405659679,0.6702811911010312,0.35995629406950874,-0.2770614744199
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",5370.0,0.9320363087969653,0.8197739149347683,0.6990212337043912,0.7150118256417364,0.8622362838420239,2.3215523407272536,0.6765504994603724,0.8769603206304349,0.9648888845283793,-0.40783364523979215,-0.10609311165912912,0.08144292399545562,0.40101512302038883,0.5542388284523145,2.9362059775359692,0.12518758036334748,3.75422613621345,0.0619282602962639,inf,0.12518758036334665,0.11953085836585008,0.12518758036334665,0.12518758036334698,0.11953085836585008,0.12775017092046348,2.9362059775359692,0.5542388284523146,3.803451094381601e+18,0.10459449975876133,0.09224417737620069,0.13426795034869943,0.6688933725163385,0.34413669848458717,-0.18625209894080783
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",5373.0,0.9356964755015692,0.8333797732130375,0.703376385315139,0.726351168278938,0.8539087869677696,2.3985194287166323,0.660217709251318,0.8874800634700956,0.9645325389370482,-0.7492971852297103,1.2014737143061218,0.04377613856582098,0.4764880851343456,0.8056584514034376,3.620724850033695,0.14662922311178606,4.077719378748213,0.071439848668079,inf,0.14662922311178533,0.1433102298595375,0.14662922311178533,0.14662922311178547,0.1433102298595375,0.1495000523174778,3.620724850033695,0.8056584514034377,3.803451094381601e+18,0.10475349796043684,0.08942716785823938,0.13410895214702392,0.6717103820342999,0.35200318700414795,-0.2390617877625943
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",5375.0,0.9112413416659076,0.7358423495251486,0.6728509176558606,0.6581438001100006,0.8722620367673556,2.3305550463419675,0.6850281027593402,0.867136645589821,0.9377377377080001,-0.5082433448160367,-0.8951242716291622,0.08088726390721226,0.5180155294416425,0.6220672599677776,1.912760259874884,0.17139373182965872,3.946842163899542,0.098822556434426,inf,0.1713937318296581,0.16526015956767623,0.1713937318296581,0.1713937318296584,0.16526015956767623,0.17468862595267545,1.912760259874884,0.6220672599677777,3.803451094381601e+18,0.10130159217509538,0.1054914689240756,0.1265260172229775,0.6437039148890548,0.35650710144804476,-0.30448481040703224
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}""}",5377.0,0.9357120985338331,0.8416312652286517,0.6966923163744909,0.7239329639539229,0.8401388489698274,2.225838520614667,0.6641943889351618,0.890164025347221,0.9630185215784737,-0.5083876808376309,1.5257446460187936,0.10040929166012082,0.5148110594780126,0.5709301254977667,3.439904630158066,0.1386133599224042,3.613077785089745,0.07256332683736243,inf,0.13861335992240345,0.14080477404376193,0.13861335992240345,0.13861335992240367,0.14080477404376193,0.13998614468973825,3.439904630158066,0.5709301254977667,3.803451094381601e+18,0.10361309706566076,0.08816834071669809,0.1352493530418,0.6729692091758412,0.3527712997919786,-0.2200566223190469
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",5378.0,0.9364976388763341,0.8427726525812516,0.6990986864800987,0.7243359023159138,0.8422729017619878,2.1980844864411835,0.6699848146815405,0.8898886312233246,0.9644348400429043,-0.4124491597666729,0.28759718972469933,0.11803480511774667,0.4999693574261416,0.53099073137553,1.920264182356565,0.15772399506034437,3.674221399639295,0.08671665269904795,inf,0.1577239950603436,0.16042792588849333,0.1577239950603436,0.15772399506034393,0.16042792588849333,0.15910426338075254,1.920264182356565,0.53099073137553,3.803451094381601e+18,0.10419426290626779,0.08814421685161629,0.13466818720119295,0.6729933330409229,0.35352377661310014,-0.26829645002155195
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}""}",5368.0,0.931932265864797,0.8170916315034513,0.6982754810791595,0.7149603534853768,0.8625227753239212,2.386701517970398,0.6691529223528178,0.8778529923850619,0.9641273233757118,-0.5081375753023594,1.0864329787369256,0.05053116094248263,0.40948123102994943,0.7272679446066571,3.2221476725419933,0.11407340539268393,4.060754099854409,0.05521085292287953,inf,0.11407340539268307,0.11737851453479929,0.11407340539268307,0.11407340539268343,0.11737851453479929,0.11602190450349702,3.2221476725419933,0.7272679446066571,3.803451094381601e+18,0.1042710206588008,0.09206434492740907,0.13459142944865995,0.6690732049651301,0.3431500715900035,-0.15803474604048706
Adult Dataset,,['sex'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [24]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [24]}""}",5372.0,0.9381208590614585,0.8474085918332571,0.712389533081792,0.738022635139339,0.8521653510244717,2.2673822745617946,0.6738123959009171,0.8928634324295069,0.9653556566593021,-0.5867805774280389,0.5999216343340695,0.10334067357535957,0.5212598603949062,0.6237475917467192,2.400363721858335,0.1366086737587977,3.647073036664513,0.06965518262492976,inf,0.13660867375879698,0.13206814663086433,0.13660867375879698,0.13660867375879726,0.13206814663086433,0.13800973546540418,2.400363721858335,0.6237475917467195,3.803451094381601e+18,0.1055945436203342,0.08814860300890388,0.13326790648712658,0.6729889468836353,0.3608781552234024,-0.2155534989392683
