time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id,[DF] Differential Fairness,VAR|[DF] Differential Fairness
2024-01-24 18:49:37.944705,1,Compas Dataset,EqOdds ALT,LogisticRegression,,"['sex', 'race']",{'c': 'EqO ALT'},0.5326842837273992,0.6745283018867925,0.348780487804878,0.29870581207393354,-0.3205524703365104,0.23967741935483872,-0.35050000000000003,0.29411561889438,-0.3344029511344686,0.5591827816016606,1.9073353509151172,0.15378336083379596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809354,,
2024-01-24 18:49:37.859498,1,Compas Dataset,EqOdds,LogisticRegression,,"['sex', 'race']",{'c': 'EqO'},0.545201668984701,0.6877828054298643,0.3707317073170731,0.187816431231991,-0.4139075082668741,0.1974193548387097,-0.417,0.2038156533731754,-0.4239223811208247,0.4359390363815142,2.720168612191959,0.1603118997371175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809354,,
2024-01-24 18:49:37.784336,1,Compas Dataset,LFR,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.4700973574408901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:49:37.744945,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6606397774687065,0.6650602409638554,0.7244094488188977,0.009491629873286,0.0469959059443894,-0.0509081114360473,0.0255773602967571,0.0371946706143596,0.0299913718723037,0.0612618104236512,0.0510605793524884,0.0079425720702335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:49:37.589422,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6592489568845619,0.6868131868131868,0.6561679790026247,-0.0010315314779586,0.0421774444834468,-0.0205094659073418,0.0557915519923417,0.0365778435726621,0.0280845556514237,0.0682786413356361,0.0544496487119439,0.008387479906608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:49:37.408190,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,"['sex', 'race']",{},0.6703755215577191,0.6730769230769231,0.7349081364829396,0.1169113489443874,-0.1302295327610162,0.0380175465599507,-0.1517889194687088,0.1419072292129286,-0.1478084555651424,0.2048145576269073,0.2797171967866241,0.0395445691261043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:49:37.222697,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,"['sex', 'race']",{},0.6662030598052852,0.6635730858468677,0.7506561679790026,0.25773089637316,-0.1303637601243055,0.1200938894874557,-0.1499940169917434,0.2667900320750062,-0.1472476272648835,0.3276368814956216,0.2679793982790024,0.051150860509787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:49:37.165210,1,Compas Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7, 8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6662030598052852,0.6658823529411765,0.7427821522309711,-0.0108356830758672,0.0438998292791184,-0.1042019393566261,0.0200729927007299,0.0110535405872193,0.0262295081967213,0.0184225676453655,0.0437158469945355,0.0039035826687119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:43:01.615944,1,Compas Dataset,FYP VAE,LogisticRegression,,"['sex', 'race']","{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 8}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6564673157162726,0.6580188679245284,0.7322834645669292,-0.0018825425483978,0.0478954298255147,-0.0758426966292135,0.0150771808065095,0.0216506291635825,0.0303278688524589,0.0356598597988417,0.0505464480874315,0.0066368642895692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:38:07.824240,1,Compas Dataset,EqOdds ALT,LogisticRegression,,"['sex', 'race']",{'c': 'EqO ALT'},0.5563282336578581,0.6802325581395349,0.3070866141732283,0.2133119950811274,-0.3307136740033108,0.1564183469293519,-0.4209046308483905,0.2173945225758697,-0.3451078515962036,0.5247453993210649,2.826314301865461,0.1330854745328951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:38:07.758538,1,Compas Dataset,EqOdds,LogisticRegression,,"['sex', 'race']",{'c': 'EqO'},0.5535465924895688,0.6648351648351648,0.3175853018372703,0.2757310464626654,-0.3220661544299514,0.1867015545636448,-0.4159088189541701,0.2710831482852208,-0.3364624676445211,0.5750248599989533,2.4215101838052657,0.1408230021220169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809355,,
2024-01-24 18:38:07.697640,1,Compas Dataset,LFR,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.4826147426981919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1995809356,,
