time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[A_AOD] Absolute Average Odds Difference,VAR|sex|[A_EOD] Absolute Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|[SF] Statistical Parity Subgroup Fairness,id,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask
2024-02-15 16:41:47.346407,1.0,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.627260083449235,0.6569506726457399,0.7181372549019608,0.034425493513741995,0.04750860392039502,0.034425493513741995,0.04750860392039502,0.0507326336318612,0.0076485460218469236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8096137898966739116,,
2024-02-15 16:41:47.315909,1.0,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.6286509040333796,0.6591422121896162,0.7156862745098039,0.0556280833676948,0.0353134819691755,0.0556280833676948,0.0353134819691755,0.0650773691908953,0.0098111849830064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.096137898966739e+18,,
2024-02-15 16:41:47.295649,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.6522948539638387,0.6795454545454546,0.7328431372549019,0.0412287463587514,-0.0319467305102498,0.0412287463587514,0.0319467305102498,0.0425209782134516,0.0064105416075874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.096137898966739e+18,,
2024-02-15 16:41:47.265496,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}""}",0.650904033379694,0.7082228116710876,0.6544117647058824,0.0343341618464625,-0.0711506808319617,0.0343341618464625,0.0711506808319617,0.0301008493931074,0.0045380599310199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.096137898966739e+18,,
2024-02-15 16:27:12.628865,1.0,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.6216968011126565,0.6351351351351351,0.7193877551020408,0.0365781616707355,0.0913512691898464,0.0365781616707355,0.0913512691898464,0.0726970033296338,0.0111497772559245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391948954544269e+18,,
2024-02-15 16:27:12.591046,1.0,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.6258692628650904,0.6407322654462243,0.7142857142857143,0.0252612979818183,0.0978872169022647,0.0252612979818183,0.0978872169022647,0.0665674503077388,0.0102096676538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391948954544269e+18,,
2024-02-15 16:27:12.560816,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.5730180806675939,0.6164383561643836,0.5739795918367347,0.1092848320029324,0.0392916856665146,0.1092848320029324,0.0392916856665146,0.1084527292906871,0.0166337499347146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391948954544269e+18,,
2024-02-15 16:27:12.540523,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [7]}""}",0.6063977746870653,0.6476964769647696,0.6096938775510204,0.116822863251029,0.1127070983432132,0.116822863251029,0.1127070983432132,0.1378644939965694,0.0211447285191726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.391948954544269e+18,,
2024-02-15 03:55:49.003592,1.0,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.6759388038942976,0.690744920993228,0.7611940298507462,0.0233214333806839,0.0158188271083319,0.0233214333806839,0.0158188271083319,0.0661780607953862,0.0106545754902207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9835662280378176e+17,,
2024-02-15 03:55:48.973401,1.0,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.6870653685674548,0.695364238410596,0.7835820895522388,0.0939489821925316,0.0134865641372317,0.0939489821925316,0.0134865641372317,0.1178661540309984,0.0189762864123212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9835662280378176e+17,,
2024-02-15 03:55:48.942872,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6634214186369958,0.6869158878504673,0.7313432835820896,0.0078058720813466,-0.0263647118472198,0.0078058720813466,0.0263647118472198,0.0404781929592695,0.0065169326119379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9835662280378176e+17,,
2024-02-15 03:46:12.454586,1.0,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.69,0.7368421052631579,0.835820895522388,-0.2356040186228865,-0.2439353099730458,0.2356040186228865,0.2439353099730458,-0.2666666666666666,0.0499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92922317924408e+18,,
2024-02-15 03:46:12.424480,1.0,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.7,0.7402597402597403,0.8507462686567164,-0.2450379808870374,-0.2628032345013477,0.2450379808870374,0.2628032345013477,-0.2799999999999999,0.0524999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92922317924408e+18,,
2024-02-15 03:46:12.384459,1.0,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=1400, latent_dim=15, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 14}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.69,0.7045454545454546,0.9253731343283582,0.0698970840480274,0.0943396226415094,0.0698970840480274,0.0943396226415094,0.0533333333333333,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92922317924408e+18,,
2024-02-15 03:44:11.547189,1.0,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.8277556033159349,0.6738836265223275,0.60880195599022,-0.0880180394632657,-0.0865998624619315,0.0880180394632657,0.0865998624619315,-0.1922610234774187,0.0423306868209225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.249594615904948e+17,,
2024-02-15 03:44:11.517137,1.0,Adult Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.8271415412956709,0.6744186046511628,0.6026894865525673,-0.1095745619322021,-0.1196581196581196,0.1095745619322021,0.1196581196581196,-0.2039492106117213,0.0449041100771687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.249594615904948e+17,,
