time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|[SF] Statistical Parity Subgroup Fairness,id,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask
2024-02-15 16:40:31.982683,1.0,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6258692628650904,0.625,0.7349081364829396,-0.15194416856154264,-0.12286699565967063,0.15194416856154264,0.12286699565967063,-0.1783332424721511,0.037966113497923455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7647098695503993213,,
2024-02-15 16:40:31.952683,1.0,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6147426981919333,0.6165919282511211,0.7217847769028871,-0.1522512399775805,-0.0868957726380879,0.1522512399775805,0.0868957726380879,-0.169283468716495,0.0360394691282321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647098695503994e+18,,
2024-02-15 16:40:31.922680,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.650904033379694,0.626953125,0.84251968503937,-0.0974327497284575,-0.0553837921398417,0.0974327497284575,0.0553837921398417,-0.1282142143233567,0.0272960629525244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647098695503994e+18,,
2024-02-15 16:40:31.902627,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}""}",0.6453407510431154,0.6158088235294118,0.8792650918635171,-0.025300193918137,0.0024674475295796,0.025300193918137,0.0024674475295796,-0.0574242672045648,0.0122252935908124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.647098695503994e+18,,
2024-02-15 16:25:57.405645,1.0,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6258692628650904,0.6492537313432836,0.6709511568123393,-0.1665576780342982,-0.2054963084495488,0.1665576780342982,0.2054963084495488,-0.1939060939060938,0.0450556231514563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693280690830768e+18,,
2024-02-15 16:25:57.385528,1.0,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6133518776077886,0.6397984886649875,0.6529562982005142,-0.120813833873719,-0.1508340169537871,0.120813833873719,0.1508340169537871,-0.145038295038295,0.03370080141442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693280690830768e+18,,
2024-02-15 16:25:57.357528,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'mse2', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Flipped ADV loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, KL divergence loss: {'weight': 0.005}, Reconstruction loss: {'weight': 17}""}",0.6022253129346314,0.6914498141263941,0.4781491002570694,-0.0661475057619438,-0.1380092972381733,0.0661475057619438,0.1380092972381733,-0.0971445221445221,0.0225723023593656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693280690830768e+18,,
2024-02-15 16:25:57.311734,1.0,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=130, latent_dim=12, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 11}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 17}, KL divergence loss: {'weight': 0.005}, Flipped ADV loss: {'weight': 17, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}""}",0.6425591098748261,0.7171052631578947,0.5604113110539846,-0.0534165397085823,-0.0839759365600218,0.0534165397085823,0.0839759365600218,-0.086063936063936,0.0199976400540853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.693280690830768e+18,,
2024-02-15 04:14:47.077576,1.0,Adult Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.8314399754375192,0.6652110625909753,0.5889175257731959,-0.0387943576328595,-0.0548120300751879,0.0387943576328595,0.0548120300751879,-0.0800167580351347,0.0105506677052491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.869554572194232e+17,,
2024-02-15 04:14:47.047647,1.0,Adult Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.8338962235185754,0.6715328467153284,0.5927835051546392,-0.0234323125469382,-0.0153383458646616,0.0234323125469382,0.0153383458646616,-0.0816174935584515,0.0107617338494571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.869554572194232e+17,,
