time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,,,,,,,,
59:44.3,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.649513213,0.649484536,0.793450882,-0.018077474,-0.073998885,0.000542571,0.000803809,7.54E-05,0.000804132,0,0,0,0,0,0,0,0,0,30.20,,,,,,,,
55:01.7,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.69123783,0.689804772,0.801007557,0.000956088,-0.02022132,0.040609349,0.060161998,0.030429762,0.224087144,0,0,0,0,0,0,0,0,0,30.30,-0.089702654,-0.047278474,-0.130469874,0.218051727,0,0,0,0
54:44.8,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.677329624,0.687927107,0.76070529,0.007012114,-0.001512618,0.047328881,0.072813664,0.006580767,0.075600724,0,0,0,0,0,0,0,0,0,30.40,,,,,,,,
54:44.7,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.677329624,0.712082262,0.697732997,0.009373627,-0.001910676,0.050779076,0.087049845,0.007060494,0.091073995,0,0,0,0,0,0,0,0,0,30.50,,,,,,,,
54:44.6,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.68984701,0.704225352,0.755667506,0.093529088,0.020579572,0.119045632,0.172114166,0.016552506,0.188880016,0,0,0,0,0,0,0,0,0,30.60,,,,,,,,
54:44.4,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.69123783,0.700228833,0.770780856,0.206453863,0.096528939,0.220715081,0.278797997,0.030688969,0.32683601,0,0,0,0,0,0,0,0,0,30.70,,,,,,,,
54:44.3,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.678720445,0.685267857,0.773299748,-0.035915922,-0.017235889,0.012298275,0.019418329,0.001709994,0.019609341,0,0,0,0,0,0,0,0,0,30.80,,,,,,,,
50:05.7,1,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.680111266,0.691075515,0.76070529,-0.025279571,-0.0173155,0.020659432,0.033055092,0.023912829,0.195207223,0,0,0,0,0,0,0,0,0,30.90,-0.066742283,-0.049046395,-0.110774818,0.193855932,0,0,0,0
49:51.9,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.695410292,0.694063927,0.781491003,0.082251122,0.052991453,0.118436791,0.168180243,0.018771242,0.184139499,0,0,0,0,0,0,0,0,0,31.00,,,,,,,,
49:47.3,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.696801113,0.693002257,0.789203085,0.125376354,0.100780379,0.162423414,0.217586083,0.025742754,0.245371373,0,0,0,0,0,0,0,0,0,31.10,,,,,,,,
49:47.3,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.685674548,0.680709534,0.789203085,-0.027876628,0.028502415,0.025703615,0.039672971,0.004073808,0.040481397,0,0,0,0,0,0,0,0,0,31.20,,,,,,,,
45:02.8,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.678720445,0.673245614,0.789203085,0.058628281,0.014046823,0.08724095,0.123882149,0.040709067,0.273973515,0,0,0,0,0,0,0,0,0,31.30,-0.137105809,-0.072187677,-0.143409152,0.245920139,0,0,0,0
44:46.3,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.685674548,0.681514477,0.786632391,0.060822446,-0.025975474,0.081821954,0.118558342,0.012968096,0.126196464,0,0,0,0,0,0,0,0,0,31.40,,,,,,,,
44:46.2,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.687065369,0.711340206,0.709511568,-0.001030614,-0.05574136,0.029584788,0.052512998,0.004688942,0.053942061,0,0,0,0,0,0,0,0,0,31.50,,,,,,,,
44:46.1,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.687065369,0.688073394,0.771208226,0.142412692,0.066369379,0.165779774,0.224197409,0.026274709,0.253857184,0,0,0,0,0,0,0,0,0,31.60,,,,,,,,
44:45.9,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.687065369,0.683035714,0.786632391,0.233438333,0.133036046,0.250286816,0.303766905,0.03966837,0.362070768,0,0,0,0,0,0,0,0,0,31.70,,,,,,,,
44:45.9,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.670375522,0.665938865,0.784061697,0.070378613,0.006280193,0.092550101,0.130119944,0.014668418,0.139399944,0,0,0,0,0,0,0,0,0,31.80,,,,,,,,
40:12.0,1,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.682892907,0.681715576,0.776349614,0.036866694,-0.012597547,0.0658945,0.098494938,0.042229491,0.312255701,0,0,0,0,0,0,0,0,0,31.90,-0.165616551,-0.09267948,-0.171486906,0.308943337,0,0,0,0
39:57.4,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.710709318,0.737668161,0.783333333,0.019187456,0.053126306,0.085352213,0.123509672,0.012103428,0.13182961,0,0,0,0,0,0,0,0,0,32.00,,,,,,,,
39:53.2,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.702364395,0.730941704,0.776190476,0.049597096,0.032864504,0.095160146,0.136101139,0.013494248,0.146299576,0,0,0,0,0,0,0,0,0,32.10,,,,,,,,
39:53.1,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.71349096,0.736725664,0.792857143,-0.057215988,-0.061203175,-0.003178371,0.005077138,0.000450711,0.005064292,0,0,0,0,0,0,0,0,0,32.20,,,,,,,,
34:53.2,1,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.720445063,0.738562092,0.807142857,-0.083528332,-0.079167247,-0.024731271,0.040025609,0.039068711,0.332981832,0,0,0,0,0,0,0,0,0,32.30,-0.147292166,-0.091153265,-0.194743098,0.338201537,0,0,0,0
34:37.3,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.709318498,0.730853392,0.795238095,-0.050924671,-0.064197187,-0.001759699,0.00277491,0.000249535,0.002771067,0,0,0,0,0,0,0,0,0,32.40,,,,,,,,
34:37.2,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.695410292,0.753148615,0.711904762,-0.055572945,-0.076382119,-0.008975828,0.016478013,0.001272823,0.016343723,0,0,0,0,0,0,0,0,0,32.50,,,,,,,,
34:37.0,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.71488178,0.750582751,0.766666667,0.01950663,0.015596714,0.074643968,0.113348248,0.010584938,0.120302987,0,0,0,0,0,0,0,0,0,32.60,,,,,,,,
34:36.9,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.724617524,0.748878924,0.795238095,0.156841639,0.155131597,0.21285535,0.267155184,0.030184095,0.310821311,0,0,0,0,0,0,0,0,0,32.70,,,,,,,,
34:36.9,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.707927677,0.722457627,0.811904762,-0.06204897,-0.055911433,-0.007311617,0.011241611,0.001036829,0.011178893,0,0,0,0,0,0,0,0,0,32.80,,,,,,,,
29:36.7,1,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.705146036,0.733183857,0.778571429,-0.047433961,-0.072482941,-0.00291919,0.004724479,0.039422703,0.341291523,0,0,0,0,0,0,0,0,0,32.90,-0.162569411,-0.117340943,-0.208626073,0.37707231,0,0,0,0
29:22.2,3,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.636666667,0.699278446,0.787240143,-0.085846889,0.024927571,-0.066654164,0.09588254,0.015166667,0.091201207,0.004022222,0.005200046,0.001901301,0.000389672,0.000121907,0.000338927,0.000851127,2.09E-05,0.000722061,33.00,,,,,,,,
29:22.1,3,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.643333333,0.714489489,0.775770609,-0.166947751,0.003369121,-0.133743228,0.215561666,0.0298,0.193630783,0.002022222,0.00454902,0.001117242,0.006049217,0.006459109,0.001244736,0.004636905,4.54E-05,0.003157326,33.10,,,,,,,,
29:22.1,3,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.616666667,0.680661863,0.817849462,-0.047795736,-0.10688019,-0.067989511,0.090055841,0.0153,0.086146706,0.001688889,0.006280646,0.001716638,0.000392864,0.000823377,0.000141958,0.000195178,6.89E-06,0.000164526,33.20,,,,,,,,
29:22.1,3,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.67,0.691817268,0.916057348,-0.00598142,0.025320853,0.001304679,0.044564534,0.008466667,0.044342681,0.003266667,0.005597263,0.001342131,0.001800613,0.00239661,0.001755643,0.000475537,1.41E-05,0.000449422,33.30,,,,,,,,
29:22.0,3,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.683333333,0.696318507,0.930322581,0.024305941,0.00914119,0.007544809,0.02717891,0.005766667,0.027453837,0.003088889,0.004695692,0.000747,0.002776715,0.001528977,0.000905214,0.000389089,1.98E-05,0.000407719,33.40,,,,,,,,
29:22.0,3,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.68,0.786320547,0.714982079,-0.028127109,0.017815494,-0.050941155,0.142323394,0.017433333,0.129075181,0.0008,0.002301553,0.000407765,0.012936775,0.007921414,0.007488611,0.015314652,0.000206149,0.010824802,33.50,,,,,,,,
29:21.9,3,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.68,0.692254967,0.935698925,-0.043275887,0.001389252,-0.036568239,0.059389184,0.0113,0.057566778,0.002866667,0.00432965,0.000513447,0.005982124,0.000804103,0.001704227,0.000678951,2.09E-05,0.00060187,33.60,,,,,,,,
29:21.9,3,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.683333333,0.700212623,0.921433692,-0.13042946,-0.045140115,-0.108990756,0.165996137,0.0271,0.149651237,0.002488889,0.004784891,0.001088537,0.020565035,0.00137664,0.008649216,0.010743263,0.000245527,0.008317536,33.70,,,,,,,,
29:21.9,3,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.67,0.679281186,0.954408602,-0.028710023,0.016212565,-0.017284615,0.036007173,0.007166667,0.03504547,0.005066667,0.00534875,0.000189062,0.002041504,0.001173146,0.001607825,0.001128333,4.39E-05,0.00103154,33.80,,,,,,,,
29:21.8,3,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.676666667,0.699485758,0.899928315,-0.070659482,0.024342632,-0.043328742,0.054433317,0.0098,0.052314328,0.002022222,0.003946063,0.000715469,0.002573848,0.0034822,0.000848403,0.001555448,4.27E-05,0.001367953,33.90,,,,,,,,
29:21.8,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.7,0.792207792,0.813333333,-0.093743852,0.018394649,-0.040673212,0.054820416,0.0087,0.053370531,0,0,0,0,0,0,0,0,0,34.00,,,,,,,,
29:19.7,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.67,0.8,0.746666667,-0.264730474,-0.073578595,-0.172978027,0.297906602,0.037,0.260752661,0,0,0,0,0,0,0,0,0,34.10,,,,,,,,
29:19.7,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.67,0.791666667,0.76,-0.028022329,-0.092809365,-0.06171108,0.091097308,0.0132,0.087183895,0,0,0,0,0,0,0,0,0,34.20,,,,,,,,
27:25.5,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.75,0.797619048,0.893333333,0.005127385,0.091137124,0.044880785,0.051529791,0.0096,0.052904898,0,0,0,0,0,0,0,0,0,34.30,,,,,,,,
27:20.9,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.76,0.793103448,0.92,0.017042101,-0.010033445,0.001402525,0.001610306,0.0003,0.001611604,0,0,0,0,0,0,0,0,0,34.40,,,,,,,,
27:20.8,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.66,0.825396825,0.693333333,-0.046121877,0.003344482,-0.024777934,0.040427155,0.0053,0.039631355,0,0,0,0,0,0,0,0,0,34.50,,,,,,,,
27:20.7,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.75,0.784090909,0.92,-0.104281428,-0.010033445,-0.059841047,0.071348941,0.0128,0.068918547,0,0,0,0,0,0,0,0,0,34.60,,,,,,,,
27:20.6,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.75,0.797619048,0.893333333,-0.272759689,-0.096989967,-0.188873305,0.266139657,0.0404,0.235972632,0,0,0,0,0,0,0,0,0,34.70,,,,,,,,
27:20.5,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.77,0.782608696,0.96,-0.007918552,0.057692308,0.022440393,0.023988006,0.0048,0.024280404,0,0,0,0,0,0,0,0,0,34.80,,,,,,,,
25:27.0,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.74,0.788235294,0.893333333,-0.116196144,0.091137124,-0.016362786,0.019509476,0.0035,0.019321606,0,0,0,0,0,0,0,0,0,34.90,,,,,,,,
25:23.4,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.66,0.689189189,0.822580645,-0.058709273,0.04047619,-0.078184111,0.112932605,0.0186,0.106998518,0,0,0,0,0,0,0,0,0,35.00,,,,,,,,
25:21.4,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.68,0.708333333,0.822580645,-0.07443609,0.114285714,-0.087431694,0.131147541,0.0208,0.12323264,0,0,0,0,0,0,0,0,0,35.10,,,,,,,,
25:21.4,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.61,0.638554217,0.85483871,-0.04047619,-0.080952381,-0.057587222,0.07244844,0.0137,0.069944296,0,0,0,0,0,0,0,0,0,35.20,,,,,,,,
23:26.7,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.64,0.638297872,0.967741935,0.039536341,-0.026190476,0.014291719,0.015064245,0.0034,0.015178863,0,0,0,0,0,0,0,0,0,35.30,,,,,,,,
23:22.0,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.66,0.652173913,0.967741935,0.09216792,-0.026190476,0.047078604,0.049623394,0.0112,0.050896945,0,0,0,0,0,0,0,0,0,35.40,,,,,,,,
23:22.0,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.72,0.814814815,0.709677419,0.119298246,0.133333333,0.0395124,0.070044709,0.0094,0.072618769,0,0,0,0,0,0,0,0,0,35.50,,,,,,,,
23:21.9,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.67,0.659340659,0.967741935,0.06585213,-0.026190476,0.021437579,0.023224044,0.0051,0.023497971,0,0,0,0,0,0,0,0,0,35.60,,,,,,,,
23:21.8,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.67,0.659340659,0.967741935,0.06585213,-0.026190476,0.021437579,0.023224044,0.0051,0.023497971,0,0,0,0,0,0,0,0,0,35.70,,,,,,,,
23:21.7,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.63,0.631578947,0.967741935,0.013220551,-0.026190476,-0.002101723,0.00221533,0.0005,0.00221288,0,0,0,0,0,0,0,0,0,35.80,,,,,,,,
21:31.5,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.65,0.651685393,0.935483871,0.000125313,-0.052380952,-0.029844472,0.034233365,0.0071,0.033660443,0,0,0,0,0,0,0,0,0,35.90,,,,,,,,
21:28.1,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.55,0.616438356,0.725806452,-0.105087542,0.015911873,-0.081105169,0.119894598,0.0182,0.113234572,0,0,0,0,0,0,0,0,0,36.00,,,,,,,,
21:26.2,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.58,0.635135135,0.758064516,-0.161676689,-0.030599755,-0.140819964,0.217630854,0.0316,0.196907048,0,0,0,0,0,0,0,0,0,36.10,,,,,,,,
21:26.1,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.57,0.611764706,0.838709677,-0.074888688,-0.146878825,-0.084670232,0.106621773,0.019,0.101311927,0,0,0,0,0,0,0,0,0,36.20,,,,,,,,
19:31.5,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.62,0.639534884,0.887096774,-0.062607986,0.011015912,-0.055258467,0.067099567,0.0124,0.064944283,0,0,0,0,0,0,0,0,0,36.30,,,,,,,,
19:26.9,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.63,0.643678161,0.903225806,-0.036292197,0.063647491,-0.025846702,0.03030303,0.0058,0.029852963,0,0,0,0,0,0,0,0,0,36.40,,,,,,,,
19:26.8,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.66,0.71875,0.741935484,-0.157557696,-0.083231334,-0.167557932,0.316498316,0.0376,0.274975421,0,0,0,0,0,0,0,0,0,36.50,,,,,,,,
19:26.7,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.62,0.633333333,0.919354839,-0.091398364,0.040391677,-0.071301248,0.083594566,0.016,0.080283817,0,0,0,0,0,0,0,0,0,36.60,,,,,,,,
19:26.6,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.63,0.643678161,0.903225806,-0.184380821,-0.012239902,-0.159536542,0.208624709,0.0358,0.189483109,0,0,0,0,0,0,0,0,0,36.70,,,,,,,,
19:26.5,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.61,0.623655914,0.935483871,-0.091432069,0.017135863,-0.072192513,0.081818182,0.0162,0.078643127,0,0,0,0,0,0,0,0,0,36.80,,,,,,,,
17:35.6,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.64,0.658536585,0.870967742,-0.095907615,0.034271726,-0.083778966,0.10955711,0.0188,0.103960935,0,0,0,0,0,0,0,0,0,36.90,,,,,,,,
17:32.1,3,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.690774223,0.695615908,0.775718087,0.08021132,0.06663296,0.128836744,0.179249856,0.020053737,0.200673979,0.000327985,0.002066023,0.000410143,0.001351299,0.005232952,0.002460325,0.004168029,5.61E-05,0.006318782,37.00,,,,,,,,
17:32.1,3,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.689383403,0.692662213,0.780377171,0.126742806,0.087327985,0.166677139,0.222055369,0.025869134,0.252727505,0.00018742,0.001781377,0.000778414,0.000707382,0.002140776,0.001211244,0.0019169,2.42E-05,0.003299148,37.10,,,,,,,,
