time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,race|[ERD] Error Rate Difference,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[SPD] Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|mean_pred,VAR|race|[ERD] Error Rate Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[A_SPD] Absolute Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-02-20 18:05:43.528943,1,Compas Dataset,Reweighing Bias Mitigation,nn keras,,['race'],{},0.6564673157162726,0.6954545454545454,0.7303102625298329,0.7124563445867288,0.6119610570236439,0.016696300059266755,-0.07067862395963145,-0.017643697318919904,0.07067862395963145,0.017643697318919904,0.08864617729235458,-0.08864617729235458,0.15266841644794393,0.02025297846452637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194348807170970653
2024-02-20 18:04:46.617632,1,Compas Dataset,FairBalance Bias Mitigation,nn keras,,['race'],{},0.6481223922114048,0.6976190476190476,0.6992840095465394,0.698450536352801,0.5841446453407511,0.0403183473033612,-0.095978402385738,-0.0191437687508928,0.095978402385738,0.0191437687508928,0.1073067479468291,-0.1073067479468291,0.1964473928947856,0.0245163561661324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194348807170970653
2024-02-20 18:03:56.049499,1,Compas Dataset,FairMask Bias Mitigation,nn keras,DecisionTreeRegressor,['race'],{},0.6564673157162726,0.7324324324324324,0.6467780429594272,0.6869455006337135,0.5146036161335188,-0.0076538819744306,-0.2293204438306585,-0.1859136149340444,0.2293204438306585,0.1859136149340444,0.2513589027178055,-0.2513589027178055,0.5903125745645432,0.0574279297664621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194348807170970653
2024-02-20 18:03:54.966338,1,Compas Dataset,No Bias Mitigation,nn keras,,['race'],{},0.6912378303198887,0.7328605200945626,0.7398568019093079,0.7363420427553444,0.588317107093185,-0.0086783506900346,-0.2422933212453064,-0.1814134006381256,0.2422933212453064,0.1814134006381256,0.2652188637710608,-0.2652188637710608,0.5362033550154057,0.0605945129323101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194348807170970653
2024-02-20 18:03:30.154255,1,Compas Dataset,FYP VAE,nn keras,,['race'],"{'c': 'MEAN W', 'my model config': ""VAEMaskConfig(epochs=1800, latent_dim=17, mask_values=None vae_layers=(100, 75, 50), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 16}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}""}",0.6801112656467315,0.6810344827586207,0.7939698492462312,0.7331786542923433,0.6453407510431154,-0.0373774207854925,-0.0140492273941918,-0.0207946336429308,0.0140492273941918,0.0207946336429308,0.0520951395390857,-0.0520951395390857,0.0832775348904382,0.0122697843744499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7566996895982382911
2024-02-20 18:03:30.150734,1,Compas Dataset,FairMask Bias Mitigation,nn keras,DecisionTreeRegressor,['race'],{},0.674547983310153,0.6830357142857143,0.7688442211055276,0.7234042553191489,0.6230876216968011,-0.0168202500041065,-0.1346086777756299,-0.1057275541795665,0.1346086777756299,0.1057275541795665,0.164736608682797,-0.164736608682797,0.2938901098901099,0.0387998320956513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7566996895982382911
2024-02-20 18:03:30.146993,1,Compas Dataset,No Bias Mitigation,nn keras,,['race'],{},0.674547983310153,0.6846846846846847,0.7638190954773869,0.7220902612826604,0.6175243393602226,-0.0227254061334779,-0.1364338517375231,-0.114499484004128,0.1364338517375231,0.114499484004128,0.1678000624188964,-0.1678000624188964,0.3029912058252137,0.0395213565433369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7566996895982382911
2024-02-20 18:01:16.808121,1,Adult Dataset,FYP VAE,nn keras,,['race'],"{'c': 'MEAN W', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8210009210930304,0.623789764868603,0.5918635170603674,0.6074074074074074,0.2219834203254528,0.0562847450402287,-0.0328050996019488,-0.034221525600836,0.0328050996019488,0.034221525600836,0.0875619416372129,-0.0875619416372129,0.5934753822077767,0.0111537946327359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877950005621482234
2024-02-20 18:01:16.804719,1,Adult Dataset,FairMask Bias Mitigation,nn keras,DecisionTreeRegressor,['race'],{},0.8529321461467608,0.7053701015965167,0.6377952755905512,0.669882839421089,0.211544365980964,0.057291204139507,-0.0252420026926238,-0.0181556948798328,0.0252420026926238,0.0181556948798328,0.0945657128986613,-0.0945657128986613,0.7210635608522931,0.0120459473744889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877950005621482234
2024-02-20 18:01:16.801008,1,Adult Dataset,No Bias Mitigation,nn keras,,['race'],{},0.8529321461467608,0.7035971223021583,0.6417322834645669,0.6712422786547702,0.2133865520417562,0.0645221687417485,-0.051839213153767,-0.0556426332288401,0.051839213153767,0.0556426332288401,0.1136048108744945,-0.1136048108744945,0.972616626434269,0.014471181269996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1877950005621482234
