index,data,bias mitigation,ML method,sensitive attrs,other,accuracy,precision,recall,f1score,mean_pred,sex|unprivileged mean_pred,sex|privileged mean_pred,sex|unprivileged acc,sex|privileged acc,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[ERD] Error Rate Difference,sex|[A_AOD] Absolute Average Odds Difference,sex|[A_EOD] Absolute Equal Opportunity Difference,sex|[A_SPD] Absolute Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TP,FP,FN,TN,MCC
4800,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}""}",0.9953897736797988,0.998200475529269,0.9963980189104007,0.997384356288059,0.9981942939689417,0.9870435806831566,1.015873015873016,0.9972733469665985,0.9923830250272034,-0.41927298606159197,0.3038547043973013,0.1309392940026834,1.1172527343290608,0.41927298606159197,0.3038547043973013,0.1309392940026834,0.9716210247349822,0.13265806755164644,0.9772727272727294,0.13093929400267557,0.13076804446064058,0.13093929400267557,0.1312126456744523,0.3038547043973013,0.4192729860615936,915429562558053895,0.9963980189104007,1.0054744525547443,1.1212121212121213,0.9818181818181835,0.9525741115019382
4801,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}""}",0.9937133277451802,0.995681937025018,0.9981990094552002,0.9968189199694829,1.0025279884434812,0.9905771495877504,1.0214752567693743,0.9959100204498977,0.9902067464635472,-0.4978385110550404,0.2641395681826736,0.0730426285574691,1.1358344113842176,0.4978385110550404,0.2641395681826736,0.0730426285574691,0.9697514873934924,0.07373744547597241,1.0,0.07304262855746187,0.0726169594755855,0.07304262855746187,0.0772748455301759,0.2641395681826736,0.4978385110550423,915429562558053895,0.9981990094552002,1.0200729927007297,1.0606060606060632,0.9333333333333345,0.9282180424417186
4802,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.9928751047778709,0.9917822575435762,1.0036019810895995,0.997094049202007,1.0119176598049837,1.0023557126030627,1.0270774976657329,0.9945466939331971,0.9902067464635472,-0.1260416379693199,0.40351934888277524,0.26823012092341314,1.1010231682935432,0.1260416379693199,0.40351934888277524,0.26823012092341314,0.9759299710889816,0.26759973286014005,0.3863636363636336,0.2682301209234164,0.2643707883508823,0.2682301209234164,0.31827019987547506,0.40351934888277524,0.12604163796932036,915429562558053895,1.0036019810895995,1.0456204379562042,0.87878787878787,0.8484848484848498,0.9064199310204142
4803,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.9974853310980721,1.0005563132318056,0.995497523638001,0.9982616976425489,0.994944023113037,0.983510011778563,1.0130718954248368,0.9972733469665985,0.9978237214363438,-0.3718206962464374,0.15136214627529354,0.10565530719433086,0.9837704339644824,0.3718206962464374,0.15136214627529354,0.10565530719433086,0.9708195600136783,0.10742677342274061,1.0,0.1056553071943345,0.10585257287360925,0.1056553071943345,0.10209883565319079,0.15136214627529354,0.37182069624643876,915429562558053895,0.9954975236380008,0.9927007299270071,1.1515151515151447,1.024242424242429,0.9794199359551623
4804,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.9995808885163454,1.0010022903901494,0.9977487618190004,0.9995279848933755,0.9967497291440953,0.988221436984688,1.0102707749766573,1.0013633265167008,0.9967355821545157,-0.13064964620154454,0.48950601002298133,0.3334554781971432,1.1149006233094214,0.13064964620154454,0.48950601002298133,0.3334554781971432,0.9781748234848435,0.3374299177465706,0.8863636363636404,0.33345547819713417,0.3337409252034931,0.33345547819713417,0.32633588011928655,0.48950601002298133,0.13064964620154876,915429562558053895,0.9977487618190005,0.9927007299270072,1.0757575757575748,1.0242424242424235,0.9992791393767337
4805,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}""}",0.9941324392288348,0.9949694574200504,1.0,0.9972386587771203,1.0050559768869627,0.9946996466431096,1.0214752567693743,0.9952283571915475,0.9923830250272034,-0.236549721771679,0.310599495082709,0.19958470746304827,1.0650358696930504,0.236549721771679,0.310599495082709,0.19958470746304827,0.9737873140354391,0.20064821389713386,0.6590909090909075,0.199584707463046,0.19800968198659052,0.199584707463046,0.21683519978503257,0.310599495082709,0.23654972177167985,915429562558053895,1.0000000000000002,1.025547445255474,1.0000000000000002,0.9151515151515143,0.9293922507475494
4806,Default Dataset,FYP VAE,LogisticRegression,['sex'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 19}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 26, 'sens_col_ids': [25]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [25]}, Pos Y vec loss: {'weight': 1200000}""}",0.9995808885163454,0.9999108613783825,0.9995497523638001,0.9997474872307365,0.9996388587937883,0.9917550058892814,1.012138188608777,1.0,0.9989118607181718,0.035217640057543007,0.4497908738083583,0.386466349090017,1.0266964600729156,0.035217640057543007,0.4497908738083583,0.386466349090017,0.9798612650437459,0.3896792522297231,0.590909090909089,0.3864663490900164,0.38575047942903345,0.3864663490900164,0.39045271274694177,0.4497908738083583,0.03521764005754314,915429562558053895,0.9995497523638002,0.9999999999999997,1.0151515151515147,1.0000000000000004,0.9958683350197189
4807,Default Dataset,LFR,LogisticRegression,['sex'],{'c': 'LFR'},1.0029337803855825,1.015305723537167,0.9797388563710039,0.9989029356345624,0.964969302997472,0.9617196702002356,0.9701213818860879,1.0020449897750512,1.0043525571273124,0.4419006851681188,0.7143072459399412,0.7122267008672278,0.9454310243443506,0.4419006851681188,0.7143072459399412,0.7122267008672278,0.9913395252978368,0.74057620212649,0.4318181818181815,0.7122267008672303,0.7373777355272493,0.7122267008672303,0.5071919091892303,0.7143072459399412,0.4419006851681204,915429562558053895,0.9797388563710042,0.9051094890510949,1.6818181818181877,1.315151515151511,1.0789103572342875
4808,Default Dataset,Reweighing Bias Mitigation,LogisticRegression,['sex'],{},1.0029337803855825,1.0014393295373827,1.0018009905447995,1.0016028887076343,1.0003611412062114,0.9899882214369847,1.0168067226890758,1.0034083162917518,1.002176278563656,-0.2788089062184499,0.27088435886807666,0.19359960913643495,1.0336351875808532,0.2788089062184499,0.27088435886807666,0.19359960913643495,0.9736247797603403,0.19555748739658996,0.6590909090909075,0.19359960913643823,0.1929698098655293,0.19359960913643823,0.19857369322763188,0.27088435886807666,0.27880890621845095,915429562558053895,1.0018009905447995,0.9945255474452553,0.9393939393939388,1.0181818181818196,1.0314560471782817
4809,Default Dataset,FairBalance Bias Mitigation,LogisticRegression,['sex'],{},0.8633696563285834,1.059563435214043,0.7366051328230526,0.8842059714039302,0.6951968219573854,0.6931684334511191,0.6984126984126985,0.8520790729379686,0.8813928182807399,0.32249994390773984,0.21594634311767547,0.5374374007572957,0.1328942726096677,0.32249994390773984,0.21594634311767547,0.5374374007572957,0.9924911660777384,0.7753344999880158,3.750000000000017,0.5374374007572991,0.7724323260970012,0.5374374007572991,0.11829003677295674,0.21594634311767547,0.322499943907741,915429562558053895,0.7366051328230527,0.5273722627737225,9.863636363636356,2.569696969696969,0.8509144082837199
