data,ML method,sensitive attrs,bias mitigation,other,accuracy,precision,recall,f1score,mean_pred,race|unprivileged mean_pred,race|privileged mean_pred,race|unprivileged acc,race|privileged acc,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[ERD] Error Rate Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[A_SPD] Absolute Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,id,TPR,FPR,FNR,TNR,MCC
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8002456247499999,0.43417061975,0.33211540417499996,0.375504452825,0.118782622025,0.086522299225,0.12418258417500001,0.8654094302249999,0.7892152396750001,-0.0029820300750000002,0.006256931525,-0.03766028495,0.07619419055,0.019514872125,0.033314761425,0.038031756900000005,0.8053670483250001,0.3122492052,0.019780472900000002,0.0046683372,0.2445700066,0.0046683372,0.0046683372,0.2445700066,0.0453551129,0.033314761425,0.019514872125,4.9188907e+18,0.07930610990556902,0.03947651211943097,0.11673082821203559,0.7005266763648875,0.47559032984200633
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.82618974495,0.67648950625,0.528077570525,0.5923677899750001,0.187250537225,0.125838844125,0.1976084806,0.87446374355,0.8180574351500001,-0.027050965924999996,-0.029631925724999997,-0.0717696364,0.056406308475,0.033150788875,0.051691877475,0.0717696364,0.637913734875,0.595679977275,0.01890543455,0.008860092975,0.45840027405,0.008860092975,0.008860092975,0.45840027405,0.08562281105,0.051691877475,0.033150788875,4.9188907e+18,0.12651212766394407,0.06073840956105594,0.11307184521241502,0.699677617562585,0.4906044336613825
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.815282468425,0.5870975963,0.451759709975,0.50935116825,0.16183604545000002,0.118299712975,0.1692023795,0.868935110075,0.806254093375,-0.003955890549999999,0.006644188424999998,-0.0509026666,0.0626810166,0.021223995449999998,0.043634761425,0.0509026666,0.7393218057500001,0.389719310075,0.022635861299999997,0.006298217524999999,0.3158523533,0.006298217524999999,0.006298217524999999,0.3158523533,0.061010647900000006,0.043634761425,0.021223995449999998,4.9188907e+18,0.1083512434915681,0.0534848019584319,0.11604894949374613,0.6989955699919681,0.4797196231898149
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Flipped ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}""}",0.82179920165,0.65199740285,0.509818123075,0.571011940925,0.18301350935,0.138608111925,0.19050673975000001,0.8696477342,0.8137539270999999,0.0026671029000000005,0.017554961799999998,-0.05189862775,0.055893807,0.0318077681,0.06154511605,0.05219974705,0.7398361059,0.38855227542500004,0.038916180575,0.006445421799999999,0.31576740997499997,0.006445421799999999,0.006445421799999999,0.31576740997499997,0.0628712123,0.06154511605,0.0318077681,4.9188907e+18,0.1221983420185901,0.0608151673314099,0.114199790616223,0.6980940459478796,0.4822572045346017
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.825176542675,0.67589686575,0.5219524238,0.5881997386,0.185270187325,0.134843324775,0.19381236445,0.87041787925,0.8175442927000001,-0.0093960029,-0.004162090125,-0.058969039749999994,0.052873586475,0.03367473635,0.061124489425000005,0.058969039749999994,0.6957796323000001,0.4777129104,0.030419097375,0.007302638825000001,0.376122049825,0.007302638825000001,0.007302638825000001,0.376122049825,0.070365774575,0.061124489425000005,0.03367473635,4.9188907e+18,0.12501535157271582,0.060254835752284186,0.11456862149091826,0.7001611911840817,0.48664848695774354
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8163570769499999,0.588793910675,0.459613128225,0.5147244853,0.163739637625,0.11630909222500001,0.17174439945,0.8691221402,0.807464834375,-0.012297843425,-0.007955551825,-0.055435307125,0.06165730575,0.029256362375,0.052140574174999996,0.055435307125,0.720373687325,0.45172350024999997,0.023994473425000003,0.006846600625,0.350025050075,0.006846600625,0.006846600625,0.350025050075,0.0663913955,0.052140574174999996,0.029256362375,4.9188907e+18,0.10984034381906878,0.05389929380593121,0.11346111664623414,0.6994078689251945,0.48644352649469075
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}""}",0.8254758979,0.679201949325,0.5160677575,0.5857903314249999,0.1823303654,0.125150997725,0.1919679547,0.8728262499999999,0.8174837882249999,-0.022603716625,-0.024662115125000002,-0.066816957025,0.05534246175,0.034591276925000004,0.058611954575,0.066816957025,0.6540312002,0.559506521825,0.020325452875,0.008244649900000001,0.43422157400000005,0.008244649900000001,0.008244649900000001,0.43422157400000005,0.07945172645000001,0.058611954575,0.034591276925000004,4.9188907e+18,0.12369511822681327,0.05863524717318673,0.11588885475506272,0.7017807798449373,0.4855528620121505
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Reconstruction loss', 'KL divergence loss'])Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8211544364,0.6237318360749999,0.492075537725,0.5492655585749999,0.1751842186,0.12391471732499999,0.183821654325,0.871052735925,0.81273353375,-0.0130288652,-0.008081007975000002,-0.059906936975000005,0.058319202199999996,0.02203434345,0.043233915325,0.059906936975000005,0.6990470323,0.46364401234999997,0.02309640785,0.007389433674999999,0.36988530662499997,0.007389433674999999,0.007389433674999999,0.36988530662499997,0.07187055587499999,0.043233915325,0.02203434345,4.9188907e+18,0.11796131409704709,0.05722290450295292,0.11226547396565711,0.6983461816019104,0.49118535694983717
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Latent sens ADV loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}""}",0.8249769725,0.67285133745,0.525540255725,0.5896135207000001,0.187296591875,0.134632240125,0.19619909645,0.8725236596749999,0.8169700999,-0.009816344525,-0.0016602623999999997,-0.061566856175,0.055553559674999996,0.032382537425,0.056734583500000005,0.061566856175,0.689874481175,0.486855380225,0.0357691127,0.007612658075000001,0.38354994532500003,0.007612658075000001,0.007612658075000001,0.38354994532500003,0.073725434575,0.056734583500000005,0.032382537425,4.9188907e+18,0.12592876876646703,0.06136782310853296,0.11365520416073358,0.6990482039642665,0.4868128915809272
Adult Dataset,LogisticRegression,['race'],FYP VAE,"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1500, latent_dim=30, mask_values=None vae_layers=(75, 60, 30, 30), lr=0.006, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.05}, Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 29}, Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (75, 30, 10), 'input_dim': 25, 'sens_col_ids': [23]}""}",0.82534540975,0.67324251605,0.5285162454,0.5914627517500001,0.18838655202500001,0.139349700525,0.196653209075,0.8709347224249999,0.8176676209749999,-0.0038461839249999998,0.0064045409250000004,-0.057303508525000005,0.053267101525000006,0.024335959875,0.049534200175,0.057303508525000005,0.710540656725,0.43267035245,0.0364138778,0.007071672699999999,0.35036478215,0.007071672699999999,0.007071672699999999,0.35036478215,0.06885469587500001,0.049534200175,0.024335959875,4.9188907e+18,0.12665796745318075,0.061728584571819234,0.11292600555531093,0.698687442419689,0.4886407896961276
